x,y,dx,dy,distance,velocity,hold_time,flight_time,user_id,label,session
805.0,880.0,0.0,-1.0,1.0,126.64319546467952,0.0,0.0,1,1,session_20260913_152555.csv
804.0,880.0,-1.0,0.0,1.0,62.405222068879866,0.0,0.0,1,1,session_20260913_152555.csv
803.0,878.0,-1.0,-2.0,2.23606797749979,2.166727077527645,0.0,0.0,1,1,session_20260913_152555.csv
803.0,877.0,0.0,-1.0,1.0,0.2380897676993994,0.0,0.0,1,1,session_20260913_152555.csv
803.0,876.0,0.0,-1.0,1.0,124.53455210976958,0.0,0.0,1,1,session_20260913_152555.csv
803.0,875.0,0.0,-1.0,1.0,41.87657298925544,0.0,0.0,1,1,session_20260913_152555.csv
803.0,874.0,0.0,-1.0,1.0,20.80702112103153,0.0,0.0,1,1,session_20260913_152555.csv
803.0,873.0,0.0,-1.0,1.0,31.039995033815924,0.0,0.0,1,1,session_20260913_152555.csv
803.0,872.0,0.0,-1.0,1.0,63.3163856478275,0.0,0.0,1,1,session_20260913_152555.csv
803.0,872.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,session_20260913_152555.csv
805.0,868.0,2.0,-4.0,4.47213595499958,576.3061797708077,0.0,0.0,1,1,session_20260913_152555.csv
806.0,866.0,1.0,-2.0,2.23606797749979,279.2083482197042,0.0,0.0,1,1,session_20260913_152555.csv
807.0,864.0,1.0,-2.0,2.23606797749979,278.8566697266609,0.0,0.0,1,1,session_20260913_152555.csv
809.0,862.0,2.0,-2.0,2.8284271247461903,348.4142799554374,0.0,0.0,1,1,session_20260913_152555.csv
809.0,860.0,0.0,-2.0,2.0,254.0037338532871,0.0,0.0,1,1,session_20260913_152555.csv
810.0,859.0,1.0,-1.0,1.4142135623730951,87.99292942149599,0.0,0.0,1,1,session_20260913_152555.csv
810.0,858.0,0.0,-1.0,1.0,1.8117451816636128,0.0,0.0,1,1,session_20260913_152555.csv
811.0,857.0,1.0,-1.0,1.4142135623730951,170.68536145838848,0.0,0.0,1,1,session_20260913_152555.csv
813.0,856.0,2.0,-1.0,2.23606797749979,291.2191471437277,0.0,0.0,1,1,session_20260913_152555.csv
813.0,855.0,0.0,-1.0,1.0,41.62486836191071,0.0,0.0,1,1,session_20260913_152555.csv
814.0,854.0,1.0,-1.0,1.4142135623730951,175.9825739311865,0.0,0.0,1,1,session_20260913_152555.csv
818.0,849.0,4.0,-5.0,6.4031242374328485,801.4123303643033,0.0,0.0,1,1,session_20260913_152555.csv
824.0,843.0,6.0,-6.0,8.48528137423857,1059.1773235796827,0.0,0.0,1,1,session_20260913_152555.csv
830.0,837.0,6.0,-6.0,8.48528137423857,1043.2124436601307,0.0,0.0,1,1,session_20260913_152555.csv
841.0,830.0,11.0,-7.0,13.038404810405298,1648.198618349432,0.0,0.0,1,1,session_20260913_152555.csv
852.0,824.0,11.0,-6.0,12.529964086141668,1569.8561799381837,0.0,0.0,1,1,session_20260913_152555.csv
873.0,811.0,21.0,-13.0,24.698178070456937,3108.331202699235,0.0,0.0,1,1,session_20260913_152555.csv
892.0,801.0,19.0,-10.0,21.470910553583888,2683.696088199152,0.0,0.0,1,1,session_20260913_152555.csv
918.0,788.0,26.0,-13.0,29.068883707497267,3634.88267243459,0.0,0.0,1,1,session_20260913_152555.csv
948.0,770.0,30.0,-18.0,34.9857113690718,4372.885954779172,0.0,0.0,1,1,session_20260913_152555.csv
978.0,752.0,30.0,-18.0,34.9857113690718,4332.488528774727,0.0,0.0,1,1,session_20260913_152555.csv
1011.0,733.0,33.0,-19.0,38.07886552931954,4795.28334689363,0.0,0.0,1,1,session_20260913_152555.csv
1037.0,720.0,26.0,-13.0,29.068883707497267,3590.6572263611647,0.0,0.0,1,1,session_20260913_152555.csv
1061.0,706.0,24.0,-14.0,27.784887978899608,3444.265275783096,0.0,0.0,1,1,session_20260913_152555.csv
1078.0,695.0,17.0,-11.0,20.248456731316587,2589.416055837777,0.0,0.0,1,1,session_20260913_152555.csv
1095.0,682.0,17.0,-13.0,21.40093455903269,2674.1140269947227,0.0,0.0,1,1,session_20260913_152555.csv
1106.0,674.0,11.0,-8.0,13.601470508735444,1661.2685967606374,0.0,0.0,1,1,session_20260913_152555.csv
1117.0,666.0,11.0,-8.0,13.601470508735444,1734.5716975033602,0.0,0.0,1,1,session_20260913_152555.csv
1128.0,659.0,11.0,-7.0,13.038404810405298,1630.9014597708056,0.0,0.0,1,1,session_20260913_152555.csv
